ticket_id,source_id,source_type,title,description,category,priority,severity,assignee_team,tags,created_at,status,is_duplicate,duplicate_of
TKT-20260323-d2412805-0001,REV-0003,review,[Critical] Data Sync: Data sync completely broken. Notes not syncing between pho,"**Summary**
Data sync completely broken. Notes not syncing between phone and iPad since 3.0.5. Losing important work data. This is critical.

**Technical Details**
- Platform: iOS
- Device: Unknown
- OS: Unknown
- App version: 3.0.5
- Affected feature: Data Sync

**Steps to Reproduce**
  1. Attempt to sync notes between iPhone and iPad
  2. Create a note on iPhone
  3. Check if the note appears on iPad

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,ios,data-sync",2026-03-23T20:17:58.576666+00:00,closed,False,
TKT-20260323-d2412805-0002,REV-0040,review,Interface is cluttered — too many menus buried inside menus.,"**Summary**
Interface is cluttered — too many menus buried inside menus.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:17:59.622377+00:00,open,False,
TKT-20260323-d2412805-0003,REV-0034,review,App is very slow to load. Takes 10+ seconds every time. Unacceptable.,"**Summary**
App is very slow to load. Takes 10+ seconds every time. Unacceptable.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:00.499866+00:00,open,False,
TKT-20260323-d2412805-0004,REV-0022,review,Collaboration features so teams can share and edit together would be perfect.,"**Summary**
Collaboration features so teams can share and edit together would be perfect.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:01.467622+00:00,open,False,
TKT-20260323-d2412805-0005,REV-0039,review,App uses over 500MB storage on my phone. Ridiculous for what it does.,"**Summary**
App uses over 500MB storage on my phone. Ridiculous for what it does.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:02.734041+00:00,open,False,
TKT-20260323-d2412805-0006,REV-0014,review,Would love a calendar view for tasks. The list gets overwhelming.,"**Summary**
Would love a calendar view for tasks. The list gets overwhelming.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:03.632262+00:00,resolved,False,
TKT-20260323-d2412805-0007,REV-0036,review,Onboarding is confusing and there are no tutorial videos.,"**Summary**
Onboarding is confusing and there are no tutorial videos.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:07.843997+00:00,open,False,
TKT-20260323-d2412805-0008,REV-0001,review,[Critical] Profile: App crashes every time I open my profile since the 3.0.1 upd,"**Summary**
App crashes every time I open my profile since the 3.0.1 update. Steps: 1) Open app 2) Tap Profile icon 3) App freezes and closes. iPhone 14, iOS 16.5. Very frustrating!

**Technical Details**
- Platform: iOS
- Device: iPhone 14
- OS: iOS 16.5
- App version: 3.0.1
- Affected feature: Profile

**Steps to Reproduce**
  1. Open app
  2. Tap Profile icon
  3. App freezes and closes

**Expected Behavior**
The feature should work without errors.",Bug,Critical,Critical,Engineering,"review,ios,profile",2026-03-23T20:18:08.789087+00:00,open,False,
TKT-20260323-d2412805-0009,REV-0041,review,No offline support whatsoever. Useless without internet.,"**Summary**
No offline support whatsoever. Useless without internet.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:10.889160+00:00,open,False,
TKT-20260323-d2412805-0010,REV-0019,review,"Siri shortcut integration so I can open items hands-free, please!","**Summary**
Siri shortcut integration so I can open items hands-free, please!

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:13.440055+00:00,open,False,
TKT-20260323-d2412805-0011,REV-0033,review,Premium subscription price is way too high. Competitors offer more for less.,"**Summary**
Premium subscription price is way too high. Competitors offer more for less.

**Expected Behavior**
User satisfaction and resolution.",Complaint,Medium,,Support,review,2026-03-23T20:18:15.073948+00:00,open,False,
TKT-20260323-d2412805-0012,REV-0015,review,Export data to PDF directly from the app would be fantastic.,"**Summary**
Export data to PDF directly from the app would be fantastic.

**Expected Behavior**
User satisfaction and resolution.",Feature Request,Medium,,Product,review,2026-03-23T20:18:16.478367+00:00,open,False,
