source_id,source_type,category,priority,technical_details,suggested_title
REV-0047,review,Spam,Low,,Review spam submission
REV-0049,review,Spam,Low,,Review spam submission
REV-0003,review,Bug,Critical,Platform: Unknown | Device: Unknown | OS: Unknown | App: 3.0.5 | Steps: available in feedback text,Fix data sync and loss issue
REV-0040,review,Complaint,Low,,Review and address user complaint
REV-0034,review,Complaint,High,,Investigate and fix performance issues
REV-0022,review,Feature Request,High,,Add real-time team collaboration
REV-0039,review,Complaint,Low,,Reduce app storage footprint
REV-0014,review,Feature Request,Medium,,Add calendar integration feature
REV-0036,review,Complaint,Low,,Review and address user complaint
REV-0027,review,Praise,Low,,Log positive user feedback
REV-0001,review,Bug,Critical,Platform: iOS | Device: iPhone 14 | OS: iOS 16.5 | App: 3.0.1 | Steps: available in feedback text,Fix app crash on affected screen
REV-0041,review,Complaint,Medium,,Improve customer support response time
REV-0050,review,Spam,Low,,Review spam submission
REV-0029,review,Praise,Low,,Log positive user feedback
REV-0044,review,Spam,Low,,Review spam submission
REV-0045,review,Spam,Low,,Review spam submission
REV-0019,review,Feature Request,Medium,,Evaluate and plan requested feature
REV-0033,review,Complaint,Medium,,Review pricing and refund policy
REV-0015,review,Feature Request,Medium,,Add PDF export functionality
REV-0012,review,Bug,Medium,Platform: iOS | Device: iPhone 12 Mini | OS: iOS 16.4 | App: 3.1.0 | Steps: available in feedback text,Investigate and fix reported bug
REV-0021,review,Feature Request,Medium,,Add snooze and reminder feature
REV-0013,review,Feature Request,Medium,,Add dark mode to app settings
REV-0010,review,Bug,Medium,Platform: iOS | Device: iPhone 15 | OS: iOS 17.1 | App: 3.1.0 | Steps: available in feedback text,Investigate battery drain regression
REV-0026,review,Praise,Low,,Log positive user feedback
REV-0030,review,Praise,Low,,Log positive user feedback
REV-0023,review,Praise,Low,,Log positive user feedback
REV-0048,review,Spam,Low,,Review spam submission
REV-0025,review,Praise,Low,,Log positive user feedback
REV-0018,review,Feature Request,Medium,,Evaluate and plan requested feature
REV-0007,review,Bug,High,Platform: Android | Device: OnePlus 10 Pro | OS: Android 13 | App: 3.0.5 | Steps: available in feedback text,Fix search returning no results
REV-0038,review,Complaint,Low,,Review pricing and refund policy
REV-0028,review,Praise,Low,,Log positive user feedback
REV-0017,review,Feature Request,Medium,,Add home screen widget support
REV-0011,review,Bug,High,Platform: Android | Device: Unknown | OS: Android 13 | App: 3.0.1 | Steps: available in feedback text,Fix file attachment not working
REV-0031,review,Praise,Low,,Log positive user feedback
REV-0043,review,Spam,Low,,Review spam submission
REV-0009,review,Bug,High,Platform: Android | Device: Pixel 6a | OS: Android 12 | App: 3.0.5 | Steps: available in feedback text,Fix offline mode not working
REV-0035,review,Complaint,Medium,,Improve customer support response time
REV-0005,review,Bug,Critical,Platform: Android | Device: Unknown | OS: Android 12 | App: Unknown | Steps: available in feedback text,Fix app crash on affected screen
REV-0032,review,Praise,Low,,Log positive user feedback
REV-0042,review,Complaint,Low,,Review ad frequency in free tier
REV-0006,review,Bug,Medium,Platform: iOS | Device: iPhone 15 Pro | OS: Unknown | App: 3.1.0 | Steps: available in feedback text,Fix push notifications not delivered
REV-0037,review,Complaint,Low,,Review ad frequency in free tier
REV-0046,review,Spam,Low,,Review spam submission
REV-0004,review,Bug,High,Platform: Android | Device: Pixel 7 | OS: Android 14 | App: Unknown | Steps: available in feedback text,Fix app freeze and unresponsiveness
REV-0016,review,Feature Request,Medium,,Add biometric login support
REV-0020,review,Feature Request,Medium,,Evaluate and plan requested feature
REV-0024,review,Praise,Low,,Log positive user feedback
REV-0008,review,Bug,Medium,Platform: iOS | Device: iPhone 13 | OS: iOS 16.6 | App: 3.0.1 | Steps: available in feedback text,Fix file upload crash on large files
REV-0002,review,Bug,High,Platform: Android | Device: Samsung Galaxy S22 | OS: Android 13 | App: 3.1.0 | Steps: available in feedback text,Fix login failure after update
